Game_Index,Date,Visitor,Game No V,Goals V,H_Status_V,Home,Game No H,Goals H,H_Status_H,Win Type,Att.,LoG,Result Visitor,Pts Visitor,Result Home,Pts Home
227,8/11/2018,Vancouver Canucks,17,8,0,Boston Bruins,15,5,1,-,"17,565",2:38,1,2,0,0
228,8/11/2018,Carolina Hurricanes,16,4,0,Chicago Blackhawks,16,3,1,-,"21,331",2:20,1,2,0,0
229,8/11/2018,San Jose Sharks,16,3,0,Dallas Stars,16,4,1,-,"18,137",2:33,0,0,1,2
230,8/11/2018,Edmonton Oilers,16,1,0,Florida Panthers,12,4,1,-,"11,484",2:33,0,0,1,2
231,8/11/2018,Minnesota Wild,15,3,0,Los Angeles Kings,15,1,1,-,"17,621",2:29,1,2,0,0
232,8/11/2018,Buffalo Sabres,16,6,0,Montreal Canadiens,16,5,1,OT,"20,488",2:40,1,2,0,1
233,8/11/2018,Vegas Golden Knights,16,5,0,Ottawa Senators,16,3,1,-,"15,213",2:37,1,2,0,0
234,8/11/2018,Arizona Coyotes,14,4,0,Philadelphia Flyers,16,5,1,OT,"18,884",2:28,0,1,1,2
235,8/11/2018,New York Islanders,15,2,0,Tampa Bay Lightning,16,4,1,-,"19,092",2:30,0,0,1,2
236,9/11/2018,Minnesota Wild,16,5,0,Anaheim Ducks,18,1,1,-,"16,464",2:30,1,2,0,0
237,9/11/2018,New York Rangers,16,2,0,Detroit Red Wings,16,3,1,OT,"19,515",2:38,0,1,1,2
238,9/11/2018,San Jose Sharks,17,0,0,St. Louis Blues,14,4,1,-,"17,032",2:21,0,0,1,2
239,9/11/2018,New Jersey Devils,14,1,0,Toronto Maple Leafs,16,6,1,-,"19,211",2:32,0,0,1,2
240,9/11/2018,Colorado Avalanche,16,2,0,Winnipeg Jets,15,5,1,-,"15,321",2:23,0,0,1,2
241,9/11/2018,Columbus Blue Jackets,16,2,0,Washington Capitals,15,1,1,-,"18,506",2:31,1,2,0,0
242,10/11/2018,Toronto Maple Leafs,17,1,0,Boston Bruins,16,5,1,-,"17,565",2:34,0,0,1,2
243,10/11/2018,Vancouver Canucks,18,3,0,Buffalo Sabres,17,4,1,SO,"17,541",2:42,0,1,1,2
244,10/11/2018,Detroit Red Wings,17,4,0,Carolina Hurricanes,17,3,1,SO,"13,029",2:42,1,2,0,1
245,10/11/2018,New York Rangers,17,5,0,Columbus Blue Jackets,17,4,1,SO,"18,384",2:47,1,2,0,1
246,10/11/2018,Nashville Predators,16,5,0,Dallas Stars,17,4,1,OT,"18,532",2:42,1,2,0,1
247,10/11/2018,New York Islanders,16,2,0,Florida Panthers,13,4,1,-,"11,947",2:28,0,0,1,2
248,10/11/2018,Calgary Flames,17,1,0,Los Angeles Kings,16,0,1,-,"18,230",2:32,1,2,0,0
249,10/11/2018,Vegas Golden Knights,17,4,0,Montreal Canadiens,17,5,1,-,"21,302",2:30,0,0,1,2
250,10/11/2018,Chicago Blackhawks,17,0,0,Philadelphia Flyers,17,4,1,-,"19,355",2:25,0,0,1,2
251,10/11/2018,Arizona Coyotes,15,0,0,Pittsburgh Penguins,15,4,1,-,"18,596",2:31,0,0,1,2
252,10/11/2018,Ottawa Senators,17,6,0,Tampa Bay Lightning,17,4,1,-,"19,092",2:35,1,2,0,0
253,11/11/2018,Vegas Golden Knights,18,1,0,Boston Bruins,17,4,1,-,"17,565",2:30,0,0,1,2
254,11/11/2018,Colorado Avalanche,17,4,0,Edmonton Oilers,17,1,1,-,"18,347",2:14,1,2,0,0
255,11/11/2018,Ottawa Senators,18,1,0,Florida Panthers,14,5,1,-,"11,192",2:35,0,0,1,2
256,11/11/2018,Calgary Flames,18,1,0,San Jose Sharks,18,3,1,-,"17,562",2:22,0,0,1,2
257,11/11/2018,Minnesota Wild,17,3,0,St. Louis Blues,15,2,1,-,"16,735",2:33,1,2,0,0
258,11/11/2018,New Jersey Devils,15,2,0,Winnipeg Jets,16,5,1,-,"15,321",2:30,0,0,1,2
259,11/11/2018,Arizona Coyotes,16,4,0,Washington Capitals,16,1,1,-,"18,506",2:27,1,2,0,0
260,12/11/2018,Nashville Predators,17,1,0,Anaheim Ducks,19,2,1,SO,"16,629",3:04,0,1,1,2
261,12/11/2018,Chicago Blackhawks,18,2,0,Carolina Hurricanes,18,3,1,OT,"11,221",2:28,0,1,1,2
262,12/11/2018,Columbus Blue Jackets,18,2,0,Dallas Stars,18,1,1,-,"17,543",2:32,1,2,0,0
263,12/11/2018,Vancouver Canucks,19,1,0,New York Rangers,18,2,1,-,"17,100",2:28,0,0,1,2
264,13/11/2018,Tampa Bay Lightning,18,1,0,Buffalo Sabres,18,2,1,-,"15,833",2:31,0,0,1,2
265,13/11/2018,Arizona Coyotes,17,1,0,Detroit Red Wings,18,6,1,-,"18,257",2:39,0,0,1,2
266,13/11/2018,Montreal Canadiens,18,2,0,Edmonton Oilers,18,6,1,-,"18,347",2:28,0,0,1,2
267,13/11/2018,Toronto Maple Leafs,18,5,0,Los Angeles Kings,17,1,1,-,"17,859",2:21,1,2,0,0
268,13/11/2018,Washington Capitals,17,5,0,Minnesota Wild,18,2,1,-,"19,101",2:33,1,2,0,0
269,13/11/2018,Pittsburgh Penguins,16,2,0,New Jersey Devils,16,4,1,-,"15,108",2:41,0,0,1,2
270,13/11/2018,Vancouver Canucks,20,2,0,New York Islanders,17,5,1,-,"8,806",2:26,0,0,1,2
271,13/11/2018,Florida Panthers,15,2,0,Philadelphia Flyers,18,1,1,-,"19,147",2:30,1,2,0,0
272,13/11/2018,Nashville Predators,18,4,0,San Jose Sharks,19,5,1,-,"16,654",2:33,0,0,1,2
273,14/11/2018,St. Louis Blues,16,0,0,Chicago Blackhawks,19,1,1,-,"21,401",2:19,0,0,1,2
274,14/11/2018,Boston Bruins,18,3,0,Colorado Avalanche,18,6,1,-,"16,124",2:20,0,0,1,2
275,14/11/2018,Anaheim Ducks,20,0,0,Vegas Golden Knights,19,5,1,-,"18,111",2:25,0,0,1,2
276,14/11/2018,Washington Capitals,18,1,0,Winnipeg Jets,17,3,1,-,"15,321",2:22,0,0,1,2
277,15/11/2018,Nashville Predators,19,1,0,Arizona Coyotes,18,2,1,-,"13,315",2:29,0,0,1,2
278,15/11/2018,Florida Panthers,16,3,0,Columbus Blue Jackets,19,7,1,-,"14,872",2:31,0,0,1,2
279,15/11/2018,Montreal Canadiens,19,3,0,Calgary Flames,19,2,1,-,"18,443",2:32,1,2,0,0
280,15/11/2018,Vancouver Canucks,21,2,0,Minnesota Wild,19,6,1,-,"19,014",2:35,0,0,1,2
281,15/11/2018,New York Rangers,19,5,0,New York Islanders,18,7,1,-,"13,472",2:40,0,0,1,2
282,15/11/2018,Detroit Red Wings,19,1,0,Ottawa Senators,19,2,1,-,"13,402",2:39,0,0,1,2
283,15/11/2018,New Jersey Devils,17,3,0,Philadelphia Flyers,19,0,1,-,"18,806",2:34,1,2,0,0
284,15/11/2018,Tampa Bay Lightning,19,4,0,Pittsburgh Penguins,17,3,1,-,"18,422",2:31,1,2,0,0
285,15/11/2018,Toronto Maple Leafs,19,5,0,San Jose Sharks,20,3,1,-,"17,011",2:27,1,2,0,0
286,16/11/2018,Toronto Maple Leafs,20,2,0,Anaheim Ducks,21,1,1,OT,"16,666",2:34,1,2,0,1
287,16/11/2018,Los Angeles Kings,18,2,0,Chicago Blackhawks,20,1,1,SO,"21,227",2:36,1,2,0,1
288,16/11/2018,Washington Capitals,19,3,0,Colorado Avalanche,19,2,1,OT,"18,050",2:35,1,2,0,1
289,16/11/2018,Boston Bruins,19,0,0,Dallas Stars,19,1,1,OT,"18,532",2:37,0,1,1,2
290,16/11/2018,St. Louis Blues,17,4,0,Vegas Golden Knights,20,1,1,-,"18,488",2:25,1,2,0,0
291,16/11/2018,Buffalo Sabres,19,2,0,Winnipeg Jets,18,1,1,SO,"15,321",2:37,1,2,0,1
292,17/11/2018,Boston Bruins,20,2,0,Arizona Coyotes,19,1,1,-,"16,386",2:23,1,2,0,0
293,17/11/2018,Columbus Blue Jackets,20,4,0,Carolina Hurricanes,19,1,1,-,"13,040",2:25,1,2,0,0
294,17/11/2018,Edmonton Oilers,19,2,0,Calgary Flames,20,4,1,-,"19,289",2:45,0,0,1,2
295,17/11/2018,Buffalo Sabres,20,3,0,Minnesota Wild,20,2,1,-,"18,947",2:22,1,2,0,0
296,17/11/2018,Detroit Red Wings,20,3,0,New Jersey Devils,18,2,1,OT,"16,514",2:37,1,2,0,1
297,17/11/2018,Los Angeles Kings,19,3,0,Nashville Predators,20,5,1,-,"17,627",2:34,0,0,1,2
298,17/11/2018,Florida Panthers,17,2,0,New York Rangers,20,4,1,-,"18,006",2:30,0,0,1,2
299,17/11/2018,Pittsburgh Penguins,18,4,0,Ottawa Senators,20,6,1,-,"17,692",2:28,0,0,1,2
300,17/11/2018,Tampa Bay Lightning,20,6,0,Philadelphia Flyers,20,5,1,OT,"19,060",2:40,1,2,0,1
301,17/11/2018,St. Louis Blues,18,0,0,San Jose Sharks,21,4,1,-,"17,417",2:24,0,0,1,2
302,17/11/2018,Montreal Canadiens,20,3,0,Vancouver Canucks,22,2,1,-,"17,880",2:35,1,2,0,0
303,18/11/2018,Colorado Avalanche,20,4,0,Anaheim Ducks,22,3,1,OT,"16,502",2:40,1,2,0,1
304,18/11/2018,New Jersey Devils,19,1,0,Carolina Hurricanes,20,2,1,-,"11,211",2:30,0,0,1,2
305,18/11/2018,Minnesota Wild,21,1,0,Chicago Blackhawks,21,3,1,-,"21,373",2:33,0,0,1,2
306,18/11/2018,Vegas Golden Knights,21,6,0,Edmonton Oilers,20,3,1,-,"18,347",2:31,1,2,0,0
307,18/11/2018,Dallas Stars,20,6,0,New York Islanders,19,2,1,-,"10,650",2:24,1,2,0,0
308,19/11/2018,Vegas Golden Knights,22,2,0,Calgary Flames,21,7,1,-,"17,635",2:23,0,0,1,2
309,19/11/2018,Washington Capitals,20,5,0,Montreal Canadiens,21,4,1,OT,"21,911",2:52,1,2,0,1
310,19/11/2018,Tampa Bay Lightning,21,2,0,Nashville Predators,21,3,1,-,"17,419",2:29,0,0,1,2
311,19/11/2018,Dallas Stars,21,1,0,New York Rangers,21,2,1,-,"17,071",2:22,0,0,1,2
312,19/11/2018,Florida Panthers,18,7,0,Ottawa Senators,21,5,1,-,"11,570",2:41,1,2,0,0
313,19/11/2018,Buffalo Sabres,21,5,0,Pittsburgh Penguins,19,4,1,OT,"18,618",2:37,1,2,0,1
314,19/11/2018,Los Angeles Kings,20,2,0,St. Louis Blues,19,0,1,-,"16,860",2:21,1,2,0,0
315,19/11/2018,Columbus Blue Jackets,21,2,0,Toronto Maple Leafs,21,4,1,-,"19,134",2:32,0,0,1,2
316,19/11/2018,Winnipeg Jets,19,6,0,Vancouver Canucks,23,3,1,-,"17,917",2:32,1,2,0,0
317,20/11/2018,Edmonton Oilers,21,4,0,San Jose Sharks,22,3,1,OT,"17,562",2:30,1,2,0,1
318,21/11/2018,Vancouver Canucks,24,3,0,Anaheim Ducks,23,4,1,-,"16,091",2:32,0,0,1,2
319,21/11/2018,Vegas Golden Knights,23,3,0,Arizona Coyotes,20,2,1,OT,"14,151",2:39,1,2,0,1
320,21/11/2018,Philadelphia Flyers,21,2,0,Buffalo Sabres,22,5,1,-,"19,070",2:26,0,0,1,2
321,21/11/2018,Toronto Maple Leafs,22,2,0,Carolina Hurricanes,21,5,1,-,"12,562",2:31,0,0,1,2
322,21/11/2018,Winnipeg Jets,20,3,0,Calgary Flames,22,6,1,-,"17,661",2:35,0,0,1,2
323,21/11/2018,Boston Bruins,21,2,0,Detroit Red Wings,21,3,1,OT,"19,515",2:29,0,1,1,2
324,21/11/2018,Colorado Avalanche,21,7,0,Los Angeles Kings,21,3,1,-,"17,840",2:40,1,2,0,0
325,21/11/2018,Ottawa Senators,22,4,0,Minnesota Wild,22,6,1,-,"19,035",2:36,0,0,1,2
326,21/11/2018,Montreal Canadiens,22,2,0,New Jersey Devils,20,5,1,-,"16,514",2:24,0,0,1,2
327,21/11/2018,St. Louis Blues,20,1,0,Nashville Predators,22,4,1,-,"17,558",2:39,0,0,1,2
328,21/11/2018,New York Islanders,20,0,0,New York Rangers,22,5,1,-,"17,297",2:25,0,0,1,2
329,21/11/2018,Dallas Stars,22,1,0,Pittsburgh Penguins,20,5,1,-,"18,430",2:18,0,0,1,2
330,21/11/2018,Florida Panthers,19,3,0,Tampa Bay Lightning,22,7,1,-,"19,092",2:28,0,0,1,2
331,21/11/2018,Chicago Blackhawks,22,2,0,Washington Capitals,21,4,1,-,"18,506",2:30,0,0,1,2
332,23/11/2018,Edmonton Oilers,22,1,0,Anaheim Ducks,24,2,1,OT,"16,497",2:23,0,1,1,2
333,23/11/2018,Colorado Avalanche,22,5,0,Arizona Coyotes,21,1,1,-,"12,029",2:30,1,2,0,0
334,23/11/2018,Pittsburgh Penguins,21,1,0,Boston Bruins,22,2,1,OT,"17,565",2:41,0,1,1,2
335,23/11/2018,Montreal Canadiens,23,2,0,Buffalo Sabres,23,3,1,OT,"19,070",2:37,0,1,1,2
336,23/11/2018,Florida Panthers,20,1,0,Carolina Hurricanes,22,4,1,-,"13,226",2:28,0,0,1,2
337,23/11/2018,Toronto Maple Leafs,23,2,0,Columbus Blue Jackets,22,4,1,-,"18,656",2:21,0,0,1,2
338,23/11/2018,Ottawa Senators,23,4,0,Dallas Stars,23,6,1,-,"18,532",2:40,0,0,1,2
339,23/11/2018,Winnipeg Jets,21,2,0,Minnesota Wild,23,4,1,-,"19,116",2:42,0,0,1,2
340,23/11/2018,New York Islanders,21,4,0,New Jersey Devils,21,3,1,OT,"16,514",2:38,1,2,0,1
341,23/11/2018,New York Rangers,23,0,0,Philadelphia Flyers,22,4,1,-,"19,523",2:31,0,0,1,2
342,23/11/2018,Vancouver Canucks,25,0,0,San Jose Sharks,23,4,1,-,"17,056",2:21,0,0,1,2
343,23/11/2018,Nashville Predators,23,2,0,St. Louis Blues,21,6,1,-,"16,192",2:30,0,0,1,2
344,23/11/2018,Chicago Blackhawks,23,2,0,Tampa Bay Lightning,23,4,1,-,"19,092",2:20,0,0,1,2
345,23/11/2018,Calgary Flames,23,0,0,Vegas Golden Knights,24,2,1,-,"18,206",2:25,0,0,1,2
346,23/11/2018,Detroit Red Wings,22,1,0,Washington Capitals,22,3,1,-,"18,506",2:32,0,0,1,2
347,24/11/2018,Dallas Stars,24,2,0,Colorado Avalanche,23,3,1,-,"18,010",2:31,0,0,1,2
348,24/11/2018,Buffalo Sabres,24,3,0,Detroit Red Wings,23,2,1,SO,"19,515",2:51,1,2,0,1
349,24/11/2018,Chicago Blackhawks,24,5,0,Florida Panthers,21,4,1,OT,"14,283",2:37,1,2,0,1
350,24/11/2018,Vancouver Canucks,26,4,0,Los Angeles Kings,22,2,1,-,"17,725",2:23,1,2,0,0
351,24/11/2018,Boston Bruins,23,3,0,Montreal Canadiens,24,2,1,-,"21,302",2:37,1,2,0,0
352,24/11/2018,Carolina Hurricanes,23,1,0,New York Islanders,22,4,1,-,"10,015",2:23,0,0,1,2
353,24/11/2018,Washington Capitals,23,5,0,New York Rangers,24,3,1,-,"16,884",2:17,1,2,0,0
354,24/11/2018,Columbus Blue Jackets,23,2,0,Pittsburgh Penguins,22,4,1,-,"18,602",2:37,0,0,1,2
355,24/11/2018,Winnipeg Jets,22,8,0,St. Louis Blues,22,4,1,-,"17,028",2:35,1,2,0,0
356,24/11/2018,Philadelphia Flyers,23,0,0,Toronto Maple Leafs,24,6,1,-,"19,373",2:25,0,0,1,2
357,24/11/2018,San Jose Sharks,24,0,0,Vegas Golden Knights,25,6,1,-,"18,252",2:34,0,0,1,2
358,25/11/2018,Calgary Flames,24,6,0,Arizona Coyotes,22,1,1,-,"12,821",2:29,1,2,0,0
359,25/11/2018,Edmonton Oilers,23,2,0,Los Angeles Kings,23,5,1,-,"17,581",2:39,0,0,1,2
360,25/11/2018,Anaheim Ducks,25,2,0,Nashville Predators,24,5,1,-,"17,167",2:43,0,0,1,2
361,25/11/2018,New Jersey Devils,22,2,0,Tampa Bay Lightning,24,5,1,-,"19,092",2:33,0,0,1,2
362,26/11/2018,Columbus Blue Jackets,24,7,0,Detroit Red Wings,24,5,1,-,"17,510",2:31,1,2,0,0
363,26/11/2018,New Jersey Devils,23,3,0,Florida Panthers,22,4,1,OT,"9,456",2:43,0,1,1,2
364,26/11/2018,Washington Capitals,24,4,0,New York Islanders,23,1,1,-,"9,072",2:20,1,2,0,0
365,26/11/2018,Ottawa Senators,24,2,0,New York Rangers,25,4,1,-,"16,709",2:37,0,0,1,2
366,26/11/2018,Boston Bruins,24,2,0,Toronto Maple Leafs,25,4,1,-,"19,286",2:27,0,0,1,2
367,27/11/2018,San Jose Sharks,25,2,0,Buffalo Sabres,25,3,1,OT,"19,070",2:39,0,1,1,2
368,27/11/2018,Vegas Golden Knights,26,8,0,Chicago Blackhawks,25,3,1,-,"21,460",2:26,1,2,0,0
369,27/11/2018,Dallas Stars,25,0,0,Edmonton Oilers,24,1,1,OT,"18,347",2:32,0,1,1,2
370,27/11/2018,Arizona Coyotes,23,4,0,Minnesota Wild,24,3,1,-,"18,706",2:27,1,2,0,0
371,27/11/2018,Carolina Hurricanes,24,2,0,Montreal Canadiens,25,1,1,-,"20,835",2:27,1,2,0,0
372,27/11/2018,Colorado Avalanche,24,3,0,Nashville Predators,25,2,1,-,"17,163",2:29,1,2,0,0
373,27/11/2018,Ottawa Senators,25,4,0,Philadelphia Flyers,24,3,1,-,"19,083",2:28,1,2,0,0
374,27/11/2018,Anaheim Ducks,26,3,0,Tampa Bay Lightning,25,1,1,-,"19,092",2:25,1,2,0,0
375,27/11/2018,Los Angeles Kings,24,2,0,Vancouver Canucks,27,1,1,OT,"17,790",2:26,1,2,0,1
376,27/11/2018,Pittsburgh Penguins,23,4,0,Winnipeg Jets,23,3,1,-,"15,321",2:23,1,2,0,0
377,28/11/2018,Dallas Stars,26,4,0,Calgary Flames,25,3,1,OT,"17,676",2:32,1,2,0,1
378,28/11/2018,Pittsburgh Penguins,24,3,0,Colorado Avalanche,25,6,1,-,"17,348",2:31,0,0,1,2
379,28/11/2018,St. Louis Blues,23,3,0,Detroit Red Wings,25,4,1,-,"18,165",2:36,0,0,1,2
380,28/11/2018,Anaheim Ducks,27,3,0,Florida Panthers,23,2,1,-,"9,078",2:31,1,2,0,0
381,28/11/2018,San Jose Sharks,26,3,0,Toronto Maple Leafs,26,5,1,-,"19,362",2:36,0,0,1,2
382,29/11/2018,New York Islanders,24,1,0,Boston Bruins,25,2,1,SO,"17,565",2:42,0,1,1,2
383,29/11/2018,Minnesota Wild,25,2,0,Columbus Blue Jackets,25,4,1,-,"15,210",2:28,0,0,1,2
384,29/11/2018,Los Angeles Kings,25,2,0,Edmonton Oilers,25,3,1,-,"18,347",2:35,0,0,1,2
385,29/11/2018,Arizona Coyotes,24,3,0,Nashville Predators,26,0,1,-,"17,165",2:33,1,2,0,0
386,29/11/2018,New York Rangers,26,0,0,Ottawa Senators,26,3,1,-,"10,921",2:13,0,0,1,2
387,29/11/2018,Buffalo Sabres,26,4,0,Tampa Bay Lightning,26,5,1,-,"19,092",2:33,0,0,1,2
388,29/11/2018,Vegas Golden Knights,27,4,0,Vancouver Canucks,28,3,1,-,"16,880",2:25,1,2,0,0
389,29/11/2018,Chicago Blackhawks,26,5,0,Winnipeg Jets,24,6,1,-,"15,321",2:21,0,0,1,2
390,30/11/2018,Anaheim Ducks,28,2,0,Carolina Hurricanes,25,1,1,OT,"13,987",2:34,1,2,0,1
391,30/11/2018,Los Angeles Kings,26,1,0,Calgary Flames,26,4,1,-,"17,989",2:18,0,0,1,2
392,30/11/2018,St. Louis Blues,24,3,0,Colorado Avalanche,26,2,1,OT,"18,021",2:38,1,2,0,1
393,30/11/2018,Buffalo Sabres,27,2,0,Florida Panthers,24,3,1,OT,"12,179",2:36,0,1,1,2
394,30/11/2018,New Jersey Devils,24,3,0,Washington Capitals,25,6,1,-,"18,506",2:33,0,0,1,2
395,1/12/2018,St. Louis Blues,25,1,0,Arizona Coyotes,25,6,1,-,"13,451",2:30,0,0,1,2
396,1/12/2018,Detroit Red Wings,26,4,0,Boston Bruins,26,2,1,-,"17,565",2:40,1,2,0,0
397,1/12/2018,Vegas Golden Knights,28,1,0,Edmonton Oilers,26,2,1,-,"18,347",2:19,0,0,1,2
398,1/12/2018,Tampa Bay Lightning,27,5,0,Florida Panthers,25,4,1,OT,"12,361",2:47,1,2,0,1
399,1/12/2018,Toronto Maple Leafs,27,5,0,Minnesota Wild,26,3,1,-,"19,107",2:31,1,2,0,0
400,1/12/2018,New York Rangers,27,2,0,Montreal Canadiens,26,5,1,-,"21,302",2:26,0,0,1,2
401,1/12/2018,Winnipeg Jets,25,4,0,New Jersey Devils,25,3,1,OT,"16,514",2:46,1,2,0,1
402,1/12/2018,Chicago Blackhawks,27,2,0,Nashville Predators,27,5,1,-,"17,548",2:26,0,0,1,2
403,1/12/2018,Columbus Blue Jackets,26,2,0,New York Islanders,25,3,1,-,"13,917",2:30,0,0,1,2
404,1/12/2018,San Jose Sharks,27,2,0,Ottawa Senators,27,6,1,-,"17,531",2:37,0,0,1,2
405,1/12/2018,Philadelphia Flyers,25,4,0,Pittsburgh Penguins,25,2,1,-,"18,653",2:23,1,2,0,0
406,1/12/2018,Dallas Stars,27,2,0,Vancouver Canucks,29,1,1,-,"17,387",2:30,1,2,0,0
407,2/12/2018,Calgary Flames,27,3,0,Chicago Blackhawks,28,2,1,-,"21,074",2:30,1,2,0,0
408,2/12/2018,Colorado Avalanche,27,2,0,Detroit Red Wings,27,0,1,-,"18,248",2:32,1,2,0,0
409,2/12/2018,Carolina Hurricanes,26,0,0,Los Angeles Kings,27,2,1,-,"17,546",2:38,0,0,1,2
410,2/12/2018,San Jose Sharks,28,3,0,Montreal Canadiens,27,1,1,-,"20,301",2:24,1,2,0,0
411,2/12/2018,Winnipeg Jets,26,4,0,New York Rangers,28,3,1,SO,"17,464",2:42,1,2,0,1
412,2/12/2018,Anaheim Ducks,29,6,0,Washington Capitals,26,5,1,-,"18,506",2:35,1,2,0,0
413,3/12/2018,Edmonton Oilers,27,1,0,Dallas Stars,28,4,1,-,"18,125",2:34,0,0,1,2
414,3/12/2018,Tampa Bay Lightning,28,5,0,New Jersey Devils,26,1,1,-,"13,394",2:32,1,2,0,0
415,3/12/2018,Buffalo Sabres,28,1,0,Nashville Predators,28,2,1,-,"17,311",2:31,0,0,1,2
416,4/12/2018,Toronto Maple Leafs,28,4,0,Buffalo Sabres,29,3,1,OT,"19,070",2:38,1,2,0,1
417,4/12/2018,Calgary Flames,28,9,0,Columbus Blue Jackets,27,6,1,-,"14,885",2:30,1,2,0,0
418,4/12/2018,Tampa Bay Lightning,29,6,0,Detroit Red Wings,28,5,1,SO,"18,477",2:42,1,2,0,1
419,4/12/2018,Boston Bruins,27,0,0,Florida Panthers,26,5,1,-,"12,058",2:40,0,0,1,2
420,4/12/2018,Arizona Coyotes,26,2,0,Los Angeles Kings,28,1,1,-,"17,203",2:32,1,2,0,0
421,4/12/2018,Ottawa Senators,28,2,0,Montreal Canadiens,28,5,1,-,"20,705",2:25,0,0,1,2
422,4/12/2018,Winnipeg Jets,27,3,0,New York Islanders,26,1,1,-,"9,125",2:22,1,2,0,0
423,4/12/2018,Colorado Avalanche,28,3,0,Pittsburgh Penguins,26,6,1,-,"18,415",2:34,0,0,1,2
424,4/12/2018,Minnesota Wild,27,3,0,Vancouver Canucks,30,2,1,-,"17,122",2:25,1,2,0,0
425,4/12/2018,Washington Capitals,27,3,0,Vegas Golden Knights,29,5,1,-,"18,275",2:36,0,0,1,2
426,5/12/2018,Chicago Blackhawks,29,2,0,Anaheim Ducks,30,4,1,-,"15,696",2:24,0,0,1,2
427,5/12/2018,Carolina Hurricanes,27,1,0,San Jose Sharks,29,5,1,-,"17,119",2:24,0,0,1,2
428,5/12/2018,Edmonton Oilers,28,3,0,St. Louis Blues,26,2,1,SO,"16,551",2:37,1,2,0,1
429,6/12/2018,Washington Capitals,28,4,0,Arizona Coyotes,27,2,1,-,"11,910",2:21,1,2,0,0
430,6/12/2018,Minnesota Wild,28,0,0,Calgary Flames,29,2,1,-,"17,690",2:33,0,0,1,2
431,6/12/2018,Colorado Avalanche,29,5,0,Florida Panthers,27,2,1,-,"10,077",2:29,1,2,0,0
432,6/12/2018,New Jersey Devils,27,6,0,Los Angeles Kings,29,3,1,-,"17,568",2:47,1,2,0,0
433,6/12/2018,Montreal Canadiens,29,5,0,Ottawa Senators,29,2,1,-,"15,820",2:24,1,2,0,0
434,6/12/2018,Columbus Blue Jackets,28,4,0,Philadelphia Flyers,26,3,1,OT,"19,428",2:30,1,2,0,1
435,6/12/2018,New York Islanders,27,2,0,Pittsburgh Penguins,27,6,1,-,"18,440",2:25,0,0,1,2
436,6/12/2018,Boston Bruins,28,2,0,Tampa Bay Lightning,30,3,1,-,"19,092",2:24,0,0,1,2
437,6/12/2018,Detroit Red Wings,29,5,0,Toronto Maple Leafs,29,4,1,OT,"19,392",2:37,1,2,0,1
438,6/12/2018,Nashville Predators,29,3,0,Vancouver Canucks,31,5,1,-,"16,894",2:25,0,0,1,2
439,6/12/2018,Chicago Blackhawks,30,3,0,Vegas Golden Knights,30,4,1,-,"18,494",2:32,0,0,1,2
440,7/12/2018,Carolina Hurricanes,28,4,0,Anaheim Ducks,31,1,1,-,"15,573",2:35,1,2,0,0
441,7/12/2018,San Jose Sharks,30,2,0,Dallas Stars,29,3,1,-,"18,342",2:26,0,0,1,2
442,7/12/2018,Minnesota Wild,29,2,0,Edmonton Oilers,29,7,1,-,"18,347",2:28,0,0,1,2
443,7/12/2018,St. Louis Blues,27,1,0,Winnipeg Jets,28,0,1,-,"15,321",2:27,1,2,0,0
444,8/12/2018,San Jose Sharks,31,5,0,Arizona Coyotes,28,3,1,-,"13,780",2:29,1,2,0,0
445,8/12/2018,Toronto Maple Leafs,30,3,0,Boston Bruins,29,6,1,-,"17,565",2:39,0,0,1,2
446,8/12/2018,Philadelphia Flyers,27,6,0,Buffalo Sabres,30,2,1,-,"18,283",2:29,1,2,0,0
447,8/12/2018,Washington Capitals,29,4,0,Columbus Blue Jackets,29,0,1,-,"18,501",2:29,1,2,0,0
448,8/12/2018,Nashville Predators,30,2,0,Calgary Flames,30,5,1,-,"17,717",2:17,0,0,1,2
449,8/12/2018,New York Islanders,28,3,0,Detroit Red Wings,30,2,1,-,"19,515",2:39,1,2,0,0
450,8/12/2018,New York Rangers,29,5,0,Florida Panthers,28,4,1,SO,"15,295",2:43,1,2,0,1
451,8/12/2018,Vegas Golden Knights,31,1,0,Los Angeles Kings,30,5,1,-,"17,631",2:25,0,0,1,2
452,8/12/2018,Pittsburgh Penguins,28,1,0,Ottawa Senators,30,2,1,OT,"15,795",2:28,0,1,1,2
453,8/12/2018,Colorado Avalanche,30,1,0,Tampa Bay Lightning,31,7,1,-,"19,092",2:32,0,0,1,2
454,9/12/2018,New Jersey Devils,28,5,0,Anaheim Ducks,32,6,1,SO,"16,470",2:45,0,1,1,2
455,9/12/2018,Montreal Canadiens,30,3,0,Chicago Blackhawks,31,2,1,-,"21,057",2:32,1,2,0,0
456,9/12/2018,Calgary Flames,31,0,0,Edmonton Oilers,30,1,1,-,"18,347",2:25,0,0,1,2
457,9/12/2018,Boston Bruins,30,2,0,Ottawa Senators,31,1,1,OT,"13,148",2:33,1,2,0,1
458,9/12/2018,Vancouver Canucks,32,6,0,St. Louis Blues,28,1,1,-,"16,841",2:22,1,2,0,0
459,9/12/2018,Dallas Stars,30,2,0,Vegas Golden Knights,32,4,1,-,"18,240",2:31,0,0,1,2
