,,,,,,,,,,,,,,,,,,,,,,,482.3255,0.5987,,,,"1,500.00"
Game_Index,Date,Team A,Team B,Game_No_A,Game_No_B,H_Status_A,H_Status_B,Goals_A,Goals_B,Win_Type,Att,LoG,Result_A,Result_B,Ladder_Pts_A,Ladder_Pts_B,Smoothed Result A,Rating A,Rating B,Actual,Expected,Diff,Sq Diff,Correct,,,Team A,Rating
1,3/10/2018,Anaheim Ducks,San Jose Sharks,1,1,0,1,5,2,-,17562,2:25:00,1,0,2,0,0.9936,"1,443.15","1,534.08",0.9936,0.3721,0.6215,0.3863,0,,,Anaheim Ducks,"1,443.15"
1,3/10/2018,San Jose Sharks,Anaheim Ducks,1,1,1,0,2,5,-,17562,2:25:00,0,1,0,2,0.0064,"1,534.08","1,443.15",0.0064,0.6279,-0.6215,0.3863,0,,,Arizona Coyotes,"1,474.89"
2,3/10/2018,Montreal Canadiens,Toronto Maple Leafs,1,1,0,1,2,3,OT,19589,2:37:00,0,1,1,2,0.0971,"1,522.17","1,538.89",0.0971,0.4760,-0.3789,0.1435,1,,,Boston Bruins,"1,569.08"
2,3/10/2018,Toronto Maple Leafs,Montreal Canadiens,1,1,1,0,3,2,OT,19589,2:37:00,1,0,2,1,0.9029,"1,538.89","1,522.17",0.9029,0.5240,0.3789,0.1435,1,,,Buffalo Sabres,"1,434.27"
3,3/10/2018,Calgary Flames,Vancouver Canucks,1,1,0,1,2,5,-,18870,2:31:00,0,1,0,2,0.0064,"1,565.89","1,448.16",0.0064,0.6632,-0.6568,0.4314,0,,,Calgary Flames,"1,565.89"
3,3/10/2018,Vancouver Canucks,Calgary Flames,1,1,1,0,5,2,-,18870,2:31:00,1,0,2,0,0.9936,"1,448.16","1,565.89",0.9936,0.3368,0.6568,0.4314,0,,,Carolina Hurricanes,"1,535.26"
4,3/10/2018,Boston Bruins,Washington Capitals,1,1,0,1,0,7,-,18506,2:30:00,0,1,0,2,0.0000,"1,569.08","1,552.63",0.0000,0.5237,-0.5237,0.2742,0,,,Chicago Blackhawks,"1,461.05"
4,3/10/2018,Washington Capitals,Boston Bruins,1,1,1,0,7,0,-,18506,2:30:00,1,0,2,0,1.0000,"1,552.63","1,569.08",1.0000,0.4763,0.5237,0.2742,0,,,Colorado Avalanche,"1,488.89"
5,4/10/2018,Boston Bruins,Buffalo Sabres,2,1,0,1,4,0,-,19070,2:35:00,1,0,2,0,1.0000,"1,569.08","1,434.27",1.0000,0.6848,0.3152,0.0993,1,,,Columbus Blue Jackets,"1,542.45"
5,4/10/2018,Buffalo Sabres,Boston Bruins,1,2,1,0,0,4,-,19070,2:35:00,0,1,0,2,0.0000,"1,434.27","1,569.08",0.0000,0.3152,-0.3152,0.0993,1,,,Dallas Stars,"1,513.26"
6,4/10/2018,New York Islanders,Carolina Hurricanes,1,1,0,1,2,1,OT,18680,2:34:00,1,0,2,1,0.9784,"1,549.74","1,535.26",0.9784,0.5208,0.4575,0.2093,1,,,Detroit Red Wings,"1,433.41"
6,4/10/2018,Carolina Hurricanes,New York Islanders,1,1,1,0,1,2,OT,18680,2:34:00,0,1,1,2,0.0216,"1,535.26","1,549.74",0.0216,0.4792,-0.4575,0.2093,1,,,Edmonton Oilers,"1,451.41"
7,4/10/2018,Minnesota Wild,Colorado Avalanche,1,1,0,1,1,4,-,18086,2:37:00,0,1,0,2,0.0005,"1,467.06","1,488.89",0.0005,0.4686,-0.4681,0.2192,1,,,Florida Panthers,"1,478.27"
7,4/10/2018,Colorado Avalanche,Minnesota Wild,1,1,1,0,4,1,-,18086,2:37:00,1,0,2,0,0.9995,"1,488.89","1,467.06",0.9995,0.5314,0.4681,0.2192,1,,,Los Angeles Kings,"1,420.59"
8,4/10/2018,Arizona Coyotes,Dallas Stars,1,1,0,1,0,3,-,18532,2:34:00,0,1,0,2,0.0000,"1,474.89","1,513.26",0.0000,0.4450,-0.4450,0.1980,1,,,Minnesota Wild,"1,467.06"
8,4/10/2018,Dallas Stars,Arizona Coyotes,1,1,1,0,3,0,-,18532,2:34:00,1,0,2,0,1.0000,"1,513.26","1,474.89",1.0000,0.5550,0.4450,0.1980,1,,,Montreal Canadiens,"1,522.17"
9,4/10/2018,Columbus Blue Jackets,Detroit Red Wings,1,1,0,1,3,2,OT,19515,2:43:00,1,0,2,1,0.9029,"1,542.45","1,433.41",0.9029,0.6520,0.2510,0.0630,1,,,Nashville Predators,"1,548.34"
9,4/10/2018,Detroit Red Wings,Columbus Blue Jackets,1,1,1,0,2,3,OT,19515,2:43:00,0,1,1,2,0.0971,"1,433.41","1,542.45",0.0971,0.3480,-0.2510,0.0630,1,,,New Jersey Devils,"1,428.84"
10,4/10/2018,Nashville Predators,New York Rangers,1,1,0,1,3,2,-,17117,2:31:00,1,0,2,0,0.9029,"1,548.34","1,438.36",0.9029,0.6532,0.2497,0.0624,1,,,New York Islanders,"1,549.74"
10,4/10/2018,New York Rangers,Nashville Predators,1,1,1,0,2,3,-,17117,2:31:00,0,1,0,2,0.0971,"1,438.36","1,548.34",0.0971,0.3468,-0.2497,0.0624,1,,,New York Rangers,"1,438.36"
11,4/10/2018,Chicago Blackhawks,Ottawa Senators,1,1,0,1,4,3,OT,15858,2:38:00,1,0,2,1,0.8295,"1,461.05","1,416.01",0.8295,0.5645,0.2651,0.0703,1,,,Ottawa Senators,"1,416.01"
11,4/10/2018,Ottawa Senators,Chicago Blackhawks,1,1,1,0,3,4,OT,15858,2:38:00,0,1,1,2,0.1705,"1,416.01","1,461.05",0.1705,0.4355,-0.2651,0.0703,1,,,Philadelphia Flyers,"1,471.12"
12,4/10/2018,Washington Capitals,Pittsburgh Penguins,2,1,0,1,6,7,OT,18627,2:39:00,0,1,1,2,0.2999,"1,552.63","1,530.65",0.2999,0.5316,-0.2317,0.0537,0,,,Pittsburgh Penguins,"1,530.65"
12,4/10/2018,Pittsburgh Penguins,Washington Capitals,1,2,1,0,7,6,OT,18627,2:39:00,1,0,2,1,0.7001,"1,530.65","1,552.63",0.7001,0.4684,0.2317,0.0537,0,,,San Jose Sharks,"1,534.08"
13,4/10/2018,Winnipeg Jets,St. Louis Blues,1,1,0,1,5,1,-,18292,2:35:00,1,0,2,0,0.9999,"1,535.38","1,535.37",0.9999,0.5000,0.4998,0.2498,1,,,St. Louis Blues,"1,535.37"
13,4/10/2018,St. Louis Blues,Winnipeg Jets,1,1,1,0,1,5,-,18292,2:35:00,0,1,0,2,0.0001,"1,535.37","1,535.38",0.0001,0.5000,-0.4998,0.2498,1,,,Tampa Bay Lightning,"1,659.32"
14,4/10/2018,Philadelphia Flyers,Vegas Golden Knights,1,1,0,1,5,2,-,18555,2:24:00,1,0,2,0,0.9936,"1,471.12","1,512.01",0.9936,0.4414,0.5521,0.3049,0,,,Toronto Maple Leafs,"1,538.89"
14,4/10/2018,Vegas Golden Knights,Philadelphia Flyers,1,1,1,0,2,5,-,18555,2:24:00,0,1,0,2,0.0064,"1,512.01","1,471.12",0.0064,0.5586,-0.5521,0.3049,0,,,Vancouver Canucks,"1,448.16"
15,5/10/2018,Carolina Hurricanes,Columbus Blue Jackets,2,2,0,1,3,1,-,18306,2:35:00,1,0,2,0,0.9976,"1,535.26","1,542.45",0.9976,0.4897,0.5080,0.2580,0,,,Vegas Golden Knights,"1,512.01"
15,5/10/2018,Columbus Blue Jackets,Carolina Hurricanes,2,2,1,0,1,3,-,18306,2:35:00,0,1,0,2,0.0024,"1,542.45","1,535.26",0.0024,0.5103,-0.5080,0.2580,0,,,Washington Capitals,"1,552.63"
16,5/10/2018,San Jose Sharks,Los Angeles Kings,2,1,0,1,3,2,OT,18230,2:36:00,1,0,2,1,0.9029,"1,534.08","1,420.59",0.9029,0.6578,0.2452,0.0601,1,,,Winnipeg Jets,"1,535.38"
16,5/10/2018,Los Angeles Kings,San Jose Sharks,1,2,1,0,2,3,OT,18230,2:36:00,0,1,1,2,0.0971,"1,420.59","1,534.08",0.0971,0.3422,-0.2452,0.0601,1,,,,
17,6/10/2018,Anaheim Ducks,Arizona Coyotes,2,2,0,1,1,0,-,17125,2:24:00,1,0,2,0,1.0000,"1,443.15","1,474.89",1.0000,0.4544,0.5456,0.2976,0,,,,
17,6/10/2018,Arizona Coyotes,Anaheim Ducks,2,2,1,0,0,1,-,17125,2:24:00,0,1,0,2,0.0000,"1,474.89","1,443.15",0.0000,0.5456,-0.5456,0.2976,0,,,,
18,6/10/2018,New York Rangers,Buffalo Sabres,2,2,0,1,1,3,-,16824,2:45:00,0,1,0,2,0.0024,"1,438.36","1,434.27",0.0024,0.5059,-0.5035,0.2535,0,,,,
18,6/10/2018,Buffalo Sabres,New York Rangers,2,2,1,0,3,1,-,16824,2:45:00,1,0,2,0,0.9976,"1,434.27","1,438.36",0.9976,0.4941,0.5035,0.2535,0,,,,
19,6/10/2018,Vancouver Canucks,Calgary Flames,2,2,0,1,4,7,-,18688,2:39:00,0,1,0,2,0.0440,"1,448.16","1,565.89",0.0440,0.3368,-0.2927,0.0857,1,,,,
19,6/10/2018,Calgary Flames,Vancouver Canucks,2,2,1,0,7,4,-,18688,2:39:00,1,0,2,0,0.9560,"1,565.89","1,448.16",0.9560,0.6632,0.2927,0.0857,1,,,,
20,6/10/2018,Philadelphia Flyers,Colorado Avalanche,2,2,0,1,2,5,-,16768,2:33:00,0,1,0,2,0.0064,"1,471.12","1,488.89",0.0064,0.4744,-0.4680,0.2190,1,,,,
20,6/10/2018,Colorado Avalanche,Philadelphia Flyers,2,2,1,0,5,2,-,16768,2:33:00,1,0,2,0,0.9936,"1,488.89","1,471.12",0.9936,0.5256,0.4680,0.2190,1,,,,
21,6/10/2018,Winnipeg Jets,Dallas Stars,2,2,0,1,1,5,-,18131,2:36:00,0,1,0,2,0.0001,"1,535.38","1,513.26",0.0001,0.5318,-0.5317,0.2827,0,,,,
21,6/10/2018,Dallas Stars,Winnipeg Jets,2,2,1,0,5,1,-,18131,2:36:00,1,0,2,0,0.9999,"1,513.26","1,535.38",0.9999,0.4682,0.5317,0.2827,0,,,,
22,6/10/2018,Vegas Golden Knights,Minnesota Wild,2,2,0,1,2,1,SO,19077,3:18:00,1,0,2,1,0.9784,"1,512.01","1,467.06",0.9784,0.5643,0.4141,0.1714,1,,,,
22,6/10/2018,Minnesota Wild,Vegas Golden Knights,2,2,1,0,1,2,SO,19077,3:18:00,0,1,1,2,0.0216,"1,467.06","1,512.01",0.0216,0.4357,-0.4141,0.1714,1,,,,
23,6/10/2018,Edmonton Oilers,New Jersey Devils,1,1,0,1,2,5,-,12044,2:31:00,0,1,0,2,0.0064,"1,451.41","1,428.84",0.0064,0.5324,-0.5260,0.2767,0,,,,
23,6/10/2018,New Jersey Devils,Edmonton Oilers,1,1,1,0,5,2,-,12044,2:31:00,1,0,2,0,0.9936,"1,428.84","1,451.41",0.9936,0.4676,0.5260,0.2767,0,,,,
24,6/10/2018,Nashville Predators,New York Islanders,2,2,0,1,4,3,-,12163,2:25:00,1,0,2,0,0.8295,"1,548.34","1,549.74",0.8295,0.4980,0.3315,0.1099,0,,,,
24,6/10/2018,New York Islanders,Nashville Predators,2,2,1,0,3,4,-,12163,2:25:00,0,1,0,2,0.1705,"1,549.74","1,548.34",0.1705,0.5020,-0.3315,0.1099,0,,,,
25,6/10/2018,Montreal Canadiens,Pittsburgh Penguins,2,2,0,1,5,1,-,18622,2:26:00,1,0,2,0,0.9999,"1,522.17","1,530.65",0.9999,0.4878,0.5121,0.2622,0,,,,
25,6/10/2018,Pittsburgh Penguins,Montreal Canadiens,2,2,1,0,1,5,-,18622,2:26:00,0,1,0,2,0.0001,"1,530.65","1,522.17",0.0001,0.5122,-0.5121,0.2622,0,,,,
26,6/10/2018,Chicago Blackhawks,St. Louis Blues,2,2,0,1,5,4,OT,17429,2:39:00,1,0,2,1,0.7733,"1,461.05","1,535.37",0.7733,0.3946,0.3787,0.1434,0,,,,
26,6/10/2018,St. Louis Blues,Chicago Blackhawks,2,2,1,0,4,5,OT,17429,2:39:00,0,1,1,2,0.2267,"1,535.37","1,461.05",0.2267,0.6054,-0.3787,0.1434,0,,,,
27,6/10/2018,Florida Panthers,Tampa Bay Lightning,1,1,0,1,1,2,SO,19092,2:39:00,0,1,1,2,0.0216,"1,478.27","1,659.32",0.0216,0.2607,-0.2391,0.0572,1,,,,
27,6/10/2018,Tampa Bay Lightning,Florida Panthers,1,1,1,0,2,1,SO,19092,2:39:00,1,0,2,1,0.9784,"1,659.32","1,478.27",0.9784,0.7393,0.2391,0.0572,1,,,,
28,6/10/2018,Ottawa Senators,Toronto Maple Leafs,2,2,0,1,5,3,-,19321,2:35:00,1,0,2,0,0.9432,"1,416.01","1,538.89",0.9432,0.3302,0.6130,0.3758,0,,,,
28,6/10/2018,Toronto Maple Leafs,Ottawa Senators,2,2,1,0,3,5,-,19321,2:35:00,0,1,0,2,0.0568,"1,538.89","1,416.01",0.0568,0.6698,-0.6130,0.3758,0,,,,
29,7/10/2018,New York Rangers,Carolina Hurricanes,3,3,0,1,5,8,-,13526,2:37:00,0,1,0,2,0.0701,"1,438.36","1,535.26",0.0701,0.3641,-0.2939,0.0864,1,,,,
29,7/10/2018,Carolina Hurricanes,New York Rangers,3,3,1,0,8,5,-,13526,2:37:00,1,0,2,0,0.9299,"1,535.26","1,438.36",0.9299,0.6359,0.2939,0.0864,1,,,,
30,7/10/2018,Toronto Maple Leafs,Chicago Blackhawks,3,3,0,1,7,6,OT,21812,2:31:00,1,0,2,1,0.7001,"1,538.89","1,461.05",0.7001,0.6102,0.0899,0.0081,1,,,,
30,7/10/2018,Chicago Blackhawks,Toronto Maple Leafs,3,3,1,0,6,7,OT,21812,2:31:00,0,1,1,2,0.2999,"1,461.05","1,538.89",0.2999,0.3898,-0.0899,0.0081,1,,,,
31,7/10/2018,Detroit Red Wings,Los Angeles Kings,2,2,0,1,2,4,-,18230,2:43:00,0,1,0,2,0.0216,"1,433.41","1,420.59",0.0216,0.5184,-0.4968,0.2468,0,,,,
31,7/10/2018,Los Angeles Kings,Detroit Red Wings,2,2,1,0,4,2,-,18230,2:43:00,1,0,2,0,0.9784,"1,420.59","1,433.41",0.9784,0.4816,0.4968,0.2468,0,,,,
32,8/10/2018,Detroit Red Wings,Anaheim Ducks,3,3,0,1,2,3,SO,17436,2:44:00,0,1,1,2,0.0971,"1,433.41","1,443.15",0.0971,0.4860,-0.3889,0.1512,1,,,,
32,8/10/2018,Anaheim Ducks,Detroit Red Wings,3,3,1,0,3,2,SO,17436,2:44:00,1,0,2,1,0.9029,"1,443.15","1,433.41",0.9029,0.5140,0.3889,0.1512,1,,,,
33,8/10/2018,Ottawa Senators,Boston Bruins,3,3,0,1,3,6,-,17565,2:33:00,0,1,0,2,0.0216,"1,416.01","1,569.08",0.0216,0.2929,-0.2713,0.0736,1,,,,
33,8/10/2018,Boston Bruins,Ottawa Senators,3,3,1,0,6,3,-,17565,2:33:00,1,0,2,0,0.9784,"1,569.08","1,416.01",0.9784,0.7071,0.2713,0.0736,1,,,,
34,8/10/2018,Vegas Golden Knights,Buffalo Sabres,3,3,0,1,2,4,-,16004,2:20:00,0,1,0,2,0.0216,"1,512.01","1,434.27",0.0216,0.6100,-0.5884,0.3462,0,,,,
34,8/10/2018,Buffalo Sabres,Vegas Golden Knights,3,3,1,0,4,2,-,16004,2:20:00,1,0,2,0,0.9784,"1,434.27","1,512.01",0.9784,0.3900,0.5884,0.3462,0,,,,
35,8/10/2018,San Jose Sharks,New York Islanders,3,3,0,1,0,4,-,8790,2:26:00,0,1,0,2,0.0000,"1,534.08","1,549.74",0.0000,0.4775,-0.4775,0.2280,1,,,,
35,8/10/2018,New York Islanders,San Jose Sharks,3,3,1,0,4,0,-,8790,2:26:00,1,0,2,0,1.0000,"1,549.74","1,534.08",1.0000,0.5225,0.4775,0.2280,1,,,,
36,9/10/2018,Vancouver Canucks,Carolina Hurricanes,3,4,0,1,3,5,-,11932,2:35:00,0,1,0,2,0.0568,"1,448.16","1,535.26",0.0568,0.3772,-0.3204,0.1027,1,,,,
36,9/10/2018,Carolina Hurricanes,Vancouver Canucks,4,3,1,0,5,3,-,11932,2:35:00,1,0,2,0,0.9432,"1,535.26","1,448.16",0.9432,0.6228,0.3204,0.1027,1,,,,
37,9/10/2018,Colorado Avalanche,Columbus Blue Jackets,3,3,0,1,2,5,-,11694,2:27:00,0,1,0,2,0.0064,"1,488.89","1,542.45",0.0064,0.4235,-0.4171,0.1740,1,,,,
37,9/10/2018,Columbus Blue Jackets,Colorado Avalanche,3,3,1,0,5,2,-,11694,2:27:00,1,0,2,0,0.9936,"1,542.45","1,488.89",0.9936,0.5765,0.4171,0.1740,1,,,,
38,9/10/2018,Toronto Maple Leafs,Dallas Stars,4,3,0,1,7,4,-,17866,2:30:00,1,0,2,0,0.9560,"1,538.89","1,513.26",0.9560,0.5368,0.4192,0.1757,1,,,,
38,9/10/2018,Dallas Stars,Toronto Maple Leafs,3,4,1,0,4,7,-,17866,2:30:00,0,1,0,2,0.0440,"1,513.26","1,538.89",0.0440,0.4632,-0.4192,0.1757,1,,,,
39,9/10/2018,Calgary Flames,Nashville Predators,3,3,0,1,3,0,-,17209,2:32:00,1,0,2,0,1.0000,"1,565.89","1,548.34",1.0000,0.5252,0.4748,0.2254,1,,,,
39,9/10/2018,Nashville Predators,Calgary Flames,3,3,1,0,0,3,-,17209,2:32:00,0,1,0,2,0.0000,"1,548.34","1,565.89",0.0000,0.4748,-0.4748,0.2254,1,,,,
40,9/10/2018,San Jose Sharks,Philadelphia Flyers,4,3,0,1,8,2,-,19133,2:34:00,1,0,2,0,0.9995,"1,534.08","1,471.12",0.9995,0.5896,0.4099,0.1680,1,,,,
40,9/10/2018,Philadelphia Flyers,San Jose Sharks,3,4,1,0,2,8,-,19133,2:34:00,0,1,0,2,0.0005,"1,471.12","1,534.08",0.0005,0.4104,-0.4099,0.1680,1,,,,
41,9/10/2018,Los Angeles Kings,Winnipeg Jets,3,3,0,1,1,2,-,15321,2:27:00,0,1,0,2,0.0216,"1,420.59","1,535.38",0.0216,0.3406,-0.3189,0.1017,1,,,,
41,9/10/2018,Winnipeg Jets,Los Angeles Kings,3,3,1,0,2,1,-,15321,2:27:00,1,0,2,0,0.9784,"1,535.38","1,420.59",0.9784,0.6594,0.3189,0.1017,1,,,,
42,10/10/2018,Arizona Coyotes,Anaheim Ducks,3,4,0,1,3,2,SO,17015,2:30:00,1,0,2,1,0.9029,"1,474.89","1,443.15",0.9029,0.5456,0.3574,0.1277,1,,,,
42,10/10/2018,Anaheim Ducks,Arizona Coyotes,4,3,1,0,2,3,SO,17015,2:30:00,0,1,1,2,0.0971,"1,443.15","1,474.89",0.0971,0.4544,-0.3574,0.1277,1,,,,
43,10/10/2018,Philadelphia Flyers,Ottawa Senators,4,4,0,1,7,4,-,13215,2:38:00,1,0,2,0,0.9560,"1,471.12","1,416.01",0.9560,0.5787,0.3773,0.1424,1,,,,
43,10/10/2018,Ottawa Senators,Philadelphia Flyers,4,4,1,0,4,7,-,13215,2:38:00,0,1,0,2,0.0440,"1,416.01","1,471.12",0.0440,0.4213,-0.3773,0.1424,1,,,,
44,10/10/2018,Vegas Golden Knights,Washington Capitals,4,3,0,1,2,5,-,18506,2:40:00,0,1,0,2,0.0064,"1,512.01","1,552.63",0.0064,0.4418,-0.4354,0.1895,1,,,,
44,10/10/2018,Washington Capitals,Vegas Golden Knights,3,4,1,0,5,2,-,18506,2:40:00,1,0,2,0,0.9936,"1,552.63","1,512.01",0.9936,0.5582,0.4354,0.1895,1,,,,
45,11/10/2018,Edmonton Oilers,Boston Bruins,2,4,0,1,1,4,-,17565,2:28:00,0,1,0,2,0.0005,"1,451.41","1,569.08",0.0005,0.3368,-0.3364,0.1131,1,,,,
45,11/10/2018,Boston Bruins,Edmonton Oilers,4,2,1,0,4,1,-,17565,2:28:00,1,0,2,0,0.9995,"1,569.08","1,451.41",0.9995,0.6632,0.3364,0.1131,1,,,,
46,11/10/2018,Colorado Avalanche,Buffalo Sabres,4,4,0,1,6,1,-,15396,2:30:00,1,0,2,0,0.9999,"1,488.89","1,434.27",0.9999,0.5780,0.4220,0.1781,1,,,,
46,11/10/2018,Buffalo Sabres,Colorado Avalanche,4,4,1,0,1,6,-,15396,2:30:00,0,1,0,2,0.0001,"1,434.27","1,488.89",0.0001,0.4220,-0.4220,0.1781,1,,,,
47,11/10/2018,Toronto Maple Leafs,Detroit Red Wings,5,4,0,1,5,3,-,19515,2:32:00,1,0,2,0,0.9432,"1,538.89","1,433.41",0.9432,0.6473,0.2959,0.0876,1,,,,
47,11/10/2018,Detroit Red Wings,Toronto Maple Leafs,4,5,1,0,3,5,-,19515,2:32:00,0,1,0,2,0.0568,"1,433.41","1,538.89",0.0568,0.3527,-0.2959,0.0876,1,,,,
48,11/10/2018,Columbus Blue Jackets,Florida Panthers,4,2,0,1,5,4,-,14394,2:34:00,1,0,2,0,0.7733,"1,542.45","1,478.27",0.7733,0.5913,0.1820,0.0331,1,,,,
48,11/10/2018,Florida Panthers,Columbus Blue Jackets,2,4,1,0,4,5,-,14394,2:34:00,0,1,0,2,0.2267,"1,478.27","1,542.45",0.2267,0.4087,-0.1820,0.0331,1,,,,
49,11/10/2018,Chicago Blackhawks,Minnesota Wild,4,3,0,1,3,4,OT,18652,2:42:00,0,1,1,2,0.1705,"1,461.05","1,467.06",0.1705,0.4914,-0.3209,0.1030,1,,,,
49,11/10/2018,Minnesota Wild,Chicago Blackhawks,3,4,1,0,4,3,OT,18652,2:42:00,1,0,2,1,0.8295,"1,467.06","1,461.05",0.8295,0.5086,0.3209,0.1030,1,,,,
50,11/10/2018,Los Angeles Kings,Montreal Canadiens,4,3,0,1,3,0,-,21302,2:33:00,1,0,2,0,1.0000,"1,420.59","1,522.17",1.0000,0.3578,0.6422,0.4124,0,,,,
50,11/10/2018,Montreal Canadiens,Los Angeles Kings,3,4,1,0,0,3,-,21302,2:33:00,0,1,0,2,0.0000,"1,522.17","1,420.59",0.0000,0.6422,-0.6422,0.4124,0,,,,
51,11/10/2018,Washington Capitals,New Jersey Devils,4,2,0,1,0,6,-,16514,2:31:00,0,1,0,2,0.0000,"1,552.63","1,428.84",0.0000,0.6710,-0.6710,0.4502,0,,,,
51,11/10/2018,New Jersey Devils,Washington Capitals,2,4,1,0,6,0,-,16514,2:31:00,1,0,2,0,1.0000,"1,428.84","1,552.63",1.0000,0.3290,0.6710,0.4502,0,,,,
52,11/10/2018,Winnipeg Jets,Nashville Predators,4,4,0,1,0,3,-,17228,2:30:00,0,1,0,2,0.0000,"1,535.38","1,548.34",0.0000,0.4814,-0.4814,0.2317,1,,,,
52,11/10/2018,Nashville Predators,Winnipeg Jets,4,4,1,0,3,0,-,17228,2:30:00,1,0,2,0,1.0000,"1,548.34","1,535.38",1.0000,0.5186,0.4814,0.2317,1,,,,
53,11/10/2018,San Jose Sharks,New York Rangers,5,4,0,1,2,3,OT,17004,2:31:00,0,1,1,2,0.0971,"1,534.08","1,438.36",0.0971,0.6344,-0.5373,0.2887,0,,,,
53,11/10/2018,New York Rangers,San Jose Sharks,4,5,1,0,3,2,OT,17004,2:31:00,1,0,2,1,0.9029,"1,438.36","1,534.08",0.9029,0.3656,0.5373,0.2887,0,,,,
54,11/10/2018,Vegas Golden Knights,Pittsburgh Penguins,5,3,0,1,2,4,-,18610,2:27:00,0,1,0,2,0.0216,"1,512.01","1,530.65",0.0216,0.4732,-0.4516,0.2039,1,,,,
54,11/10/2018,Pittsburgh Penguins,Vegas Golden Knights,3,5,1,0,4,2,-,18610,2:27:00,1,0,2,0,0.9784,"1,530.65","1,512.01",0.9784,0.5268,0.4516,0.2039,1,,,,
55,11/10/2018,Calgary Flames,St. Louis Blues,4,3,0,1,3,5,-,16403,2:37:00,0,1,0,2,0.0568,"1,565.89","1,535.37",0.0568,0.5438,-0.4870,0.2372,0,,,,
55,11/10/2018,St. Louis Blues,Calgary Flames,3,4,1,0,5,3,-,16403,2:37:00,1,0,2,0,0.9432,"1,535.37","1,565.89",0.9432,0.4562,0.4870,0.2372,0,,,,
56,11/10/2018,Vancouver Canucks,Tampa Bay Lightning,4,2,0,1,4,1,-,19092,2:23:00,1,0,2,0,0.9995,"1,448.16","1,659.32",0.9995,0.2287,0.7708,0.5941,0,,,,
56,11/10/2018,Tampa Bay Lightning,Vancouver Canucks,2,4,1,0,1,4,-,19092,2:23:00,0,1,0,2,0.0005,"1,659.32","1,448.16",0.0005,0.7713,-0.7708,0.5941,0,,,,
57,13/10/2018,Buffalo Sabres,Arizona Coyotes,5,4,0,1,3,0,-,15304,2:32:00,1,0,2,0,1.0000,"1,434.27","1,474.89",1.0000,0.4418,0.5582,0.3116,0,,,,
57,13/10/2018,Arizona Coyotes,Buffalo Sabres,4,5,1,0,0,3,-,15304,2:32:00,0,1,0,2,0.0000,"1,474.89","1,434.27",0.0000,0.5582,-0.5582,0.3116,0,,,,
58,13/10/2018,Detroit Red Wings,Boston Bruins,5,5,0,1,2,8,-,17565,2:40:00,0,1,0,2,0.0005,"1,433.41","1,569.08",0.0005,0.3141,-0.3136,0.0984,1,,,,
58,13/10/2018,Boston Bruins,Detroit Red Wings,5,5,1,0,8,2,-,17565,2:40:00,1,0,2,0,0.9995,"1,569.08","1,433.41",0.9995,0.6859,0.3136,0.0984,1,,,,
59,13/10/2018,St. Louis Blues,Chicago Blackhawks,4,5,0,1,3,4,OT,21634,2:38:00,0,1,1,2,0.1705,"1,535.37","1,461.05",0.1705,0.6054,-0.4349,0.1891,0,,,,
59,13/10/2018,Chicago Blackhawks,St. Louis Blues,5,4,1,0,4,3,OT,21634,2:38:00,1,0,2,1,0.8295,"1,461.05","1,535.37",0.8295,0.3946,0.4349,0.1891,0,,,,
60,13/10/2018,Calgary Flames,Colorado Avalanche,5,5,0,1,3,2,OT,17334,2:34:00,1,0,2,1,0.9029,"1,565.89","1,488.89",0.9029,0.6090,0.2939,0.0864,1,,,,
60,13/10/2018,Colorado Avalanche,Calgary Flames,5,5,1,0,2,3,OT,17334,2:34:00,0,1,1,2,0.0971,"1,488.89","1,565.89",0.0971,0.3910,-0.2939,0.0864,1,,,,
61,13/10/2018,Anaheim Ducks,Dallas Stars,5,4,0,1,3,5,-,18532,2:38:00,0,1,0,2,0.0568,"1,443.15","1,513.26",0.0568,0.4005,-0.3436,0.1181,1,,,,
61,13/10/2018,Dallas Stars,Anaheim Ducks,4,5,1,0,5,3,-,18532,2:38:00,1,0,2,0,0.9432,"1,513.26","1,443.15",0.9432,0.5995,0.3436,0.1181,1,,,,
62,13/10/2018,Vancouver Canucks,Florida Panthers,5,3,0,1,3,2,-,11953,2:32:00,1,0,2,0,0.9029,"1,448.16","1,478.27",0.9029,0.4568,0.4461,0.1990,0,,,,
62,13/10/2018,Florida Panthers,Vancouver Canucks,3,5,1,0,2,3,-,11953,2:32:00,0,1,0,2,0.0971,"1,478.27","1,448.16",0.0971,0.5432,-0.4461,0.1990,0,,,,
63,13/10/2018,Carolina Hurricanes,Minnesota Wild,5,4,0,1,5,4,OT,18715,2:56:00,1,0,2,1,0.7733,"1,535.26","1,467.06",0.7733,0.5969,0.1764,0.0311,1,,,,
63,13/10/2018,Minnesota Wild,Carolina Hurricanes,4,5,1,0,4,5,OT,18715,2:56:00,0,1,1,2,0.2267,"1,467.06","1,535.26",0.2267,0.4031,-0.1764,0.0311,1,,,,
64,13/10/2018,Pittsburgh Penguins,Montreal Canadiens,4,4,0,1,3,4,SO,21302,3:23:00,0,1,1,2,0.1705,"1,530.65","1,522.17",0.1705,0.5122,-0.3417,0.1168,0,,,,
